date,description,amount,type,balance,raw
2025-11-24,PAYMENT REC'D WITH THANKS-DUITNOW,688.62,credit,,24 NOV PAYMENT REC'D WITH THANKS-DUITNOW 688.62 CR
2025-12-16,CASH REBATE OTHERS,0.47,credit,,16 DEC CASH REBATE OTHERS 0.47 CR
2025-12-16,CASH REBATE DINING,1.28,credit,,16 DEC CASH REBATE DINING 1.28 CR
2025-11-21,LEAP HOLDINGS SDN BHD KUALA LUMPUR MY,-154.0,debit,,21 NOV LEAP HOLDINGS SDN BHD KUALA LUMPUR MY 154.00
2025-11-25,BREW & BREAD-TMN DESA KUALA LUMPUR MY,-31.3,debit,,25 NOV BREW & BREAD-TMN DESA KUALA LUMPUR MY 31.30
2025-11-28,MULTICARE PHARMACY-DPA KUALA LUMPUR MY,-23.8,debit,,28 NOV MULTICARE PHARMACY-DPA KUALA LUMPUR MY 23.80
2025-11-28,NLBH BANGSAR KUALA LUMPUR MY,-54.1,debit,,28 NOV NLBH BANGSAR KUALA LUMPUR MY 54.10
2025-11-30,OUG KOPITIAM KUALA LUMPUR MY,-47.45,debit,,30 NOV OUG KOPITIAM KUALA LUMPUR MY 47.45
2025-11-30,DE MARKET KUALA LUMPUR MY,-138.45,debit,,30 NOV DE MARKET KUALA LUMPUR MY 138.45
2025-12-02,REST SAN CHING SAN-OUG KUALA LUMPUR MY,-39.8,debit,,02 DEC REST SAN CHING SAN-OUG KUALA LUMPUR MY 39.80
2025-12-03,AN VIET-THE GARDENS KUALA LUMPUR MY,-58.8,debit,,03 DEC AN VIET-THE GARDENS KUALA LUMPUR MY 58.80
2025-12-06,KEY COLOR PHOTO SDN BHD MID VALLEY CI MY,-74.0,debit,,06 DEC KEY COLOR PHOTO SDN BHD MID VALLEY CI MY 74.00
2025-12-07,88 BBQ-DESA SRI HARTAMAS SELANGOR MY,-81.4,debit,,07 DEC 88 BBQ-DESA SRI HARTAMAS SELANGOR MY 81.40
2025-12-09,FOX PARADOX KUALA LUMPUR MY,-43.46,debit,,09 DEC FOX PARADOX KUALA LUMPUR MY 43.46
2025-12-12,ZOK NOODLE-MIDVALLEY KUALA LUMPUR MY,-29.95,debit,,12 DEC ZOK NOODLE-MIDVALLEY KUALA LUMPUR MY 29.95
