date,description,amount,type,balance,raw
2026-04-18,PAYMENT REC'D WITH THANKS-DUITNOW,408.33,credit,,18 APR PAYMENT REC'D WITH THANKS-DUITNOW 408.33 CR
2026-05-01,PAYMENT REC'D WITH THANKS-DUITNOW,408.33,credit,,01 MAY PAYMENT REC'D WITH THANKS-DUITNOW 408.33 CR
2026-05-01,PAYMENT REC'D WITH THANKS-DUITNOW,450.0,credit,,01 MAY PAYMENT REC'D WITH THANKS-DUITNOW 450.00 CR
2026-05-04,PAYMENT REC'D WITH THANKS-DUITNOW,1122.01,credit,,"04 MAY PAYMENT REC'D WITH THANKS-DUITNOW 1,122.01 CR"
2026-05-16,CASH REBATE OTHERS,1.18,credit,,16 MAY CASH REBATE OTHERS 1.18 CR
2026-04-25,LOVE BONITO-TRX PETALING JAYA MY,-337.5,debit,,25 APR LOVE BONITO-TRX PETALING JAYA MY 337.50
2026-05-01,ISETAN-THE GARDEN KUALA LUMPUR MY,-250.0,debit,,01 MAY ISETAN-THE GARDEN KUALA LUMPUR MY 250.00
2026-05-03,UOB PL-EPP INSTALMENT 02/12,-450.0,debit,,03 MAY UOB PL-EPP INSTALMENT 02/12 450.00
2026-05-12,LEGEND HOME APPLIANCES 02/24,-637.21,debit,,12 MAY LEGEND HOME APPLIANCES 02/24 637.21
2026-05-15,ONE LIVING-40SP (24MTH) 03/24,-262.5,debit,,15 MAY ONE LIVING-40SP (24MTH) 03/24 262.50
