date,description,amount,type,balance,raw
2026-03-27,PAYMENT REC'D WITH THANKS-DUITNOW,261.85,credit,,27 MAR PAYMENT REC'D WITH THANKS-DUITNOW 261.85 CR
2026-04-01,PAYMENT REC'D WITH THANKS-DUITNOW,450.0,credit,,01 APR PAYMENT REC'D WITH THANKS-DUITNOW 450.00 CR
2026-04-03,EPP CONVERSION,5400.0,credit,,"03 APR EPP CONVERSION 5,400.00 CR"
2026-04-16,CASH REBATE OTHERS,10.8,credit,,16 APR CASH REBATE OTHERS 10.80 CR
2026-04-16,CASH REBATE DINING,15.0,credit,,16 APR CASH REBATE DINING 15.00 CR
2026-03-29,DUNLOPILLO SUITE PERAI MY,-5400.0,debit,,"29 MAR DUNLOPILLO SUITE PERAI MY 5,400.00"
2026-04-03,UOB PL-EPP INSTALMENT 01/12,-450.0,debit,,03 APR UOB PL-EPP INSTALMENT 01/12 450.00
2026-04-04,KEBUN CAFE BATANG KALI MY,-149.0,debit,,04 APR KEBUN CAFE BATANG KALI MY 149.00
2026-04-12,LEGEND HOME APPLIANCES 01/24,-637.21,debit,,12 APR LEGEND HOME APPLIANCES 01/24 637.21
2026-04-13,BREW & BREAD-TMN DESA KUALA LUMPUR MY,-99.1,debit,,13 APR BREW & BREAD-TMN DESA KUALA LUMPUR MY 99.10
2026-04-15,ONE LIVING-40SP (24MTH) 02/24,-262.5,debit,,15 APR ONE LIVING-40SP (24MTH) 02/24 262.50
