date,description,amount,type,balance,raw
2025-08-16,CASH REBATE GROCERY,2.24,credit,,16 AUG CASH REBATE GROCERY 2.24 CR
2025-08-16,CASH REBATE OTHERS,3.42,credit,,16 AUG CASH REBATE OTHERS 3.42 CR
2025-08-16,CASH REBATE DINING,15.0,credit,,16 AUG CASH REBATE DINING 15.00 CR
2025-07-28,SERVICE TAX-PRINCIPAL,-25.0,debit,,28 JUL SERVICE TAX-PRINCIPAL 25.00
2025-07-28,DE MARKET KUALA LUMPUR MY,-24.0,debit,,28 JUL DE MARKET KUALA LUMPUR MY 24.00
2025-07-28,DE MARKET KUALA LUMPUR MY,-44.5,debit,,28 JUL DE MARKET KUALA LUMPUR MY 44.50
2025-07-28,AYU BORNEO-TMN DESA KUALA LUMPUR MY,-71.0,debit,,28 JUL AYU BORNEO-TMN DESA KUALA LUMPUR MY 71.00
2025-07-28,GOGO STEAMBOAT-S.PTL KUALA LUMPUR MY,-156.85,debit,,28 JUL GOGO STEAMBOAT-S.PTL KUALA LUMPUR MY 156.85
2025-07-30,MOJO EATERY KL MY,-15.6,debit,,30 JUL MOJO EATERY KL MY 15.60
2025-08-01,JAYA GROCER-PEARL SHOPPIN KUALA LUMPUR MY,-20.15,debit,,01 AUG JAYA GROCER-PEARL SHOPPIN KUALA LUMPUR MY 20.15
2025-08-02,URBAN MARKETPLACE-SR P KUALA LUMPUR MY,-9.25,debit,,02 AUG URBAN MARKETPLACE-SR P KUALA LUMPUR MY 9.25
2025-08-03,NSK GROCER-3 DAMANSARA PETALING JAYA MY,-87.5,debit,,03 AUG NSK GROCER-3 DAMANSARA PETALING JAYA MY 87.50
2025-08-03,SAUSAGE & RIBS SHACK KUALA LUMPUR MY,-111.35,debit,,03 AUG SAUSAGE & RIBS SHACK KUALA LUMPUR MY 111.35
2025-08-04,JAYA GROCER-PEARL SHOPPIN KUALA LUMPUR MY,-2.25,debit,,04 AUG JAYA GROCER-PEARL SHOPPIN KUALA LUMPUR MY 2.25
2025-08-04,OMEGA PORK NOODLE KUALA LUMPUR MY,-18.0,debit,,04 AUG OMEGA PORK NOODLE KUALA LUMPUR MY 18.00
2025-08-04,HERBALINE BEAUTY-OU KUALA LUMPUR MY,-289.0,debit,,04 AUG HERBALINE BEAUTY-OU KUALA LUMPUR MY 289.00
2025-08-05,PYX*Aloe Mind SELANGOR MY,-220.0,debit,,05 AUG PYX*Aloe Mind SELANGOR MY 220.00
2025-08-06,HONG FU DIM SUM KUALA LUMPUR MY,-63.2,debit,,06 AUG HONG FU DIM SUM KUALA LUMPUR MY 63.20
2025-08-06,HEY YI- KL KUALA LUMPUR MY,-25.2,debit,,06 AUG HEY YI- KL KUALA LUMPUR MY 25.20
2025-08-15,Oyen Sdn Bhd Kuala Lumpur MY,-962.97,debit,,15 AUG Oyen Sdn Bhd Kuala Lumpur MY 962.97
